generation,currently_solved,partially_solved,ever_solved,total
H0,3,9,12,36
H1,3,9,12,36
H2,5,11,18,36
H3,4,9,19,36
H4,3,10,20,36
H5,5,10,20,36
H6,5,7,20,36
H7,5,7,21,36
H8,3,8,21,36
