generation,passed,total,percent,basis,trials_per_task
H0,4.7,28,16.7,measured,3
H1,4.7,28,16.7,measured,3
H2,6.3,28,22.6,measured,3
H3,5.7,28,20.2,measured,3
H4,4.7,28,16.7,measured,3
H5,5.3,28,19.0,measured,3
H6,5.7,28,20.2,measured,3
