generation,currently_solved,partially_solved,ever_solved,total
H0,2,5,7,28
H1,1,9,12,28
H2,2,9,13,28
H3,1,10,14,28
H4,3,4,14,28
H5,3,4,14,28
H6,2,9,15,28
