transition,gains,retained,regressions,unresolved,net,identity
H0→H1,5,2,5,16,0,false
H1→H2,4,7,1,16,3,false
H2→H3,3,4,5,16,-2,false
H3→H4,3,3,5,17,-2,false
H4→H5,3,2,3,20,0,false
H5→H6,4,5,2,17,2,false
