transition,gains,retained,regressions,unresolved,net,identity
H0→H1,0,8,0,28,0,true
H1→H2,0,8,0,28,0,true
H2→H3,0,8,0,28,0,true
H3→H4,9,2,4,21,5,false
H4→H5,0,12,0,24,0,true
H5→H6,0,12,0,24,0,true
H6→H7,3,4,7,22,-4,false
