generation,currently_solved,partially_solved,ever_solved,total
H0,2,6,8,36
H1,2,6,8,36
H2,2,6,8,36
H3,2,6,8,36
H4,4,8,15,36
H5,4,8,15,36
H6,4,8,15,36
H7,3,8,15,36
