generation,currently_solved,partially_solved,ever_solved,total
H0,2,5,7,28
H1,2,6,10,28
H2,3,4,11,28
H3,3,7,11,28
H4,3,7,11,28
H5,3,5,11,28
H6,2,8,13,28
