generation,passed,total,percent,basis,trials_per_task
H0,4.3,28,15.5,measured,3
H1,5,28,17.9,measured,3
H2,5.7,28,20.2,measured,3
H3,6.7,28,23.8,measured,3
H4,6.3,28,22.6,measured,3
H5,5.7,28,20.2,measured,3
H6,6.3,28,22.6,measured,3
